,item_description,price,date_listed,description_upper,matched_description,score
52,two white Lg pedestals with storage drawer,$250,Apr 14,TWO WHITE LG PEDESTALS WITH STORAGE DRAWER, DRAWER DISHWASHER    ,86
53,Washer and dryer Repair,$0,Mar 12,WASHER AND DRYER REPAIR, CLOTHES DRYER    ,86
54,Washer and dryer Repair,$0,Mar 12,WASHER AND DRYER REPAIR, CLOTHES DRYER    ,86
55,Washer and dryer Repair,$0,Mar 12,WASHER AND DRYER REPAIR, CLOTHES DRYER    ,86
57,Ge electric oven,$100,Mar 12,GE ELECTRIC OVEN, OVEN     ,90
58,Hisense 12k btu portable AC unit,$250,Mar 14,HISENSE   K BTU PORTABLE AC UNIT, GARBAGE DISPOSAL UNIT   ,86
61,Microwave 30.00,$0,Mar  9,MICROWAVE      , MICROWAVE OVEN    ,90
62,Microwave 30.00,$0,Mar  9,MICROWAVE      , MICROWAVE OVEN    ,90
63,Microwave 30.00,$0,Mar  9,MICROWAVE      , MICROWAVE OVEN    ,90
64,IDLI MAKER MICROWAVABLE,$10,Feb 29,IDLI MAKER MICROWAVABLE, PASTA MAKER    ,86
65,Bar or table chairs,$60,Mar  2,BAR OR TABLE CHAIRS, TABLE LAMP    ,86
66,COMERCIAL CHICKEN ROSTISSERIE OVEN,$2000,Mar 17,COMERCIAL CHICKEN ROSTISSERIE OVEN, CONVECTION OVEN    ,86
68,Westinghouse Hand Held Mini Carpet and Car Vacuum,$10,Mar 13,WESTINGHOUSE HAND HELD MINI CARPET AND CAR VACUUM, CENTRAL VACUUM CLEANER   ,86
69,2 PIECE FURNITURE SET FOR SALE MUST GO SERIOUS INQUIRES ONLY,$400,Mar 26,  PIECE FURNITURE SET FOR SALE MUST GO SERIOUS INQUIRES ONLY, GO TO BED MATCHBOX    ,86
71,Stainless Steel Gas Stove,$100,Mar 23,STAINLESS STEEL GAS STOVE, GAS APPLIANCE    ,86
73,Kenmore dishwasher,$50,Apr  4,KENMORE DISHWASHER, DISHWASHER     ,90
74,"Sink, faucet, and garbage disposal",$150,Apr  7,SINK  FAUCET  AND GARBAGE DISPOSAL, GARBAGE DISPOSAL UNIT   ,86
75,Under washer cabinets 2,$100,Apr 11,UNDER WASHER CABINETS  ,WASHER   DRYER,86
76,BRAND NEW - Summit  SPWD2201SS Front Load Washer/Dryer Combo,$580,Apr 12,BRAND NEW   SUMMIT  SPWD    SS FRONT LOAD WASHER DRYER COMBO, CLOTHES DRYER    ,86
78,WASHER AND DRYER,$300,Apr 14,WASHER AND DRYER,WASHER   DRYER,95
79,"Philips FW-C557/37 Max-Sound Gameport 5-CD/Radio Hi-Fi Stereo System

",$0,Mar 24,PHILIPS FW C       MAX SOUND GAMEPORT   CD RADIO HI FI STEREO SYSTEM  , RADIO RECEIVER    ,86
80,Washer/Drier,$500,Mar  5,WASHER DRIER,WASHER   DRYER,87
81,Electrolux Electric Fireplace,$75,Mar 17,ELECTROLUX ELECTRIC FIREPLACE, ELECTRIC COOKER    ,86
82,Portable Clothes Washer,$200,Mar 19,PORTABLE CLOTHES WASHER, CLOTHES DRYER    ,86
83,Washer & dryer set,$600,Apr 13,WASHER   DRYER SET,WASHER   DRYER,95
84,Kenmore white gas range,$100,Apr  8,KENMORE WHITE GAS RANGE, GAS APPLIANCE    ,86
85,Kenmore white top freezer refrigerator,$100,Apr  8,KENMORE WHITE TOP FREEZER REFRIGERATOR, FREEZER     ,90
88,"Hisense 5,500 btu portable air conditioner",$200,Apr 14,HISENSE       BTU PORTABLE AIR CONDITIONER, AIR CONDITIONER    ,90
89,Dyson Vacuum,$175,Mar  8,DYSON VACUUM, CENTRAL VACUUM CLEANER   ,86
90,Admiral Dryer,$125,Feb 29,ADMIRAL DRYER, HAIR DRYER    ,78
91,"Classic Metal and glass dome hanging chandelier, light fixture, hung i",$110,Mar  2,CLASSIC METAL AND GLASS DOME HANGING CHANDELIER  LIGHT FIXTURE  HUNG I, LIGHT FIXTURE    ,90
92,Vintage Pioneer CS-607 Speakers,$150,Mar  2,VINTAGE PIONEER CS     SPEAKERS,SPEAKER     ,90
93,Washer&dryer,$100,Mar  8,WASHER DRYER,WASHER   DRYER,95
